"sales","price","discount_percent","promotion_flag","competitor_price","tv_ad_spend","digital_ad_spend","social_media_spend","search_ads_spend","influencer_spend","email_marketing","seasonality_index","competition_index","economic_sentiment","website_visits","app_downloads"
26780.14,88.82,3.76,0,93.14,270.04,227.18,433.51,136.08,59.21,90,0.75,1.08,95.87,11250.36,3326.14
48068.31,92.41,11,0,90.62,743.96,449.57,581.86,378.86,372.77,193.77,0.9,0.78,118.82,16971.08,2164.54
35038.53,114.54,9.18,0,112.44,576.96,442.91,264.71,121.86,244.5,105.58,1,1.26,107.62,7874.91,3013.37
40959.27,95.81,8.37,0,92.86,693.21,405.68,377.91,196.91,336.44,184.47,1.1,0.73,99.66,11464.72,1521.03
35185.51,96.49,5.24,0,99.23,549.51,368.92,275.97,269.16,299.94,218.76,1.3,0.64,93.02,12828.73,1154.71
36582.2,116.71,5.76,0,131.69,486.08,506.09,384.6,239.84,357.55,313.96,0.75,0.72,96.85,26563.62,2176.58
22486.97,100.4,10.3,0,94.35,401.29,180.25,149.64,110.98,144.4,79.24,0.9,1.14,98.32,35044.88,1779.42
68389.6,81.62,8.45,0,82.6,1210.5,500.51,1119.33,468.93,597.04,304.67,1,0.68,110,42800.73,3949.11
43536.86,87.48,7.28,0,85.85,352.51,523.54,609.44,481.29,93.47,142.87,1.1,1.01,99.39,10109.2,1358.14
45714.34,90.05,5.94,0,102.85,528.91,531.26,669.48,759.23,196.78,236.01,1.3,0.78,97.99,9755.91,1758.83
25228.64,110.03,6.71,0,130.95,432.06,250.91,212.3,189.55,101.86,46.97,0.75,1.05,118.15,61510.65,13649.16
36821.12,99.19,3.67,0,105.31,410.46,550.58,362.49,473.16,149.42,73.52,0.9,0.93,99.39,11450.96,1215.37
26557.27,99.68,7.07,0,102.21,239.37,432.98,181.02,433.57,164.77,115.12,1,0.81,77.44,10025.27,3517.85
48552.98,96.27,3.77,0,109.54,647.45,638.11,617.33,677.72,209.59,272.43,1.1,0.62,100.37,17012.4,3833.96
40606.72,88.87,19.73,1,87.36,486.52,470.57,278.87,321.49,131.47,53.99,1.3,1.35,124.16,78086.06,5186.58
31489.52,117.72,1.74,0,119.53,425.43,405.64,352.29,273.37,119.88,90.62,0.75,0.87,105.74,17905.08,4546.13
39372.81,100.85,2.61,0,111.88,777.77,356.98,412.51,142.38,611.52,410.51,0.9,1.12,103.06,32260.06,1812.32
50332.56,75.03,9.22,0,77.18,591.73,753.72,721.26,503.21,337,294.6,1,0.65,111.74,17034.92,2644.51
34679.32,103.34,10.7,0,101.47,355.07,517.1,458.54,141.87,132.65,61.15,1.1,0.91,94.92,21087.83,751.89
53469.05,89.76,2.38,0,92.92,1038.95,631.53,321.74,483.25,256.05,293.88,1.3,0.95,103.48,11888.24,3652.33
45868.62,83.57,7.63,0,82.25,460.16,921.86,365.69,436.24,205.53,184.94,0.75,1.22,93.46,19930.75,1370.86
35912.79,92.55,1.75,0,109.63,459.93,452.56,400.59,300.16,161.17,180.23,0.9,0.61,105.51,17741.95,2128.06
45144.44,83.99,12.52,0,83.09,662.49,614.14,301.9,428.15,265.39,315.08,1,1.04,106.51,6187.96,15321.42
49666.03,87.04,4.57,0,95.72,527.74,694.51,675.66,635.33,295.47,268.23,1.1,0.87,117.74,43752.24,2674.44
31794.45,88.14,0.44,0,89.91,312.25,477.79,470.51,172.51,124.87,46.21,1.3,0.62,99.53,13990.09,6641.47
51524.04,77.59,10.81,0,88.03,606.52,450.15,800.16,861.11,466.62,170.46,0.75,0.77,94.48,45740.43,1660.7
29181.23,105.05,0.62,0,115.43,280.79,494.99,287.74,182.09,416.44,140.45,0.9,0.83,116.42,12832.13,747.42
62226.43,96.76,2.98,0,93.71,892.23,958.59,855.92,348.81,144.13,226.32,1,0.99,105.37,27859.82,622.44
35023.29,82.87,6.97,0,86.46,333.45,577.22,334.87,231.31,202.14,101.13,1.1,0.78,92.47,37110.29,3136.43
30123.64,110.42,1.66,0,111.33,368.77,381.88,242.42,326.96,120.17,126.68,1.3,1.12,108.61,11548.39,4663.2
