"UserID","ProductsViewed","TimeSpentMinutes","PastPurchases","PagesVisited","LoginFrequency","AbandonedCartCount","DeviceType","PreferredContentCategory","SubscriptionPlan","UserOrigin","FeedbackGiven","PAM_Cluster","KMeans_Cluster","KModes_Cluster"
1060,33,60,544,123,25,0,"Desktop","Books","Basic","Organic","Yes","1","4","2"
2340,9,5,0,13,4,2,"Desktop","Books","Free","Referral","No","1","1","1"
1066,25,86,379,41,1,0,"Tablet","Gaming","Free","Organic","No","2","2","1"
2474,41,38,521,131,32,0,"Mobile","Electronics","Free","Paid_Ad","No","2","4","1"
1922,31,51,201,19,13,4,"Tablet","HomeGoods","Basic","Social_Media","No","1","2","3"
3107,9,19,3,26,3,3,"Mobile","Electronics","Premium","Organic","No","3","1","4"
1135,30,78,397,118,24,0,"Tablet","Gaming","Free","Referral","Yes","4","4","4"
821,41,44,515,72,12,1,"Mobile","Apparel","Premium","Paid_Ad","No","2","4","1"
2056,51,55,16,159,12,3,"Mobile","HomeGoods","Free","Referral","Yes","4","3","1"
627,32,35,136,117,4,3,"Mobile","Electronics","Free","Organic","Yes","3","2","4"
2006,40,53,583,54,9,0,"Mobile","Gaming","Basic","Referral","No","4","4","4"
2645,10,13,4,5,2,1,"Desktop","Apparel","Free","Paid_Ad","No","2","1","1"
2409,25,80,737,38,21,0,"Desktop","Gaming","Basic","Paid_Ad","Yes","3","4","2"
2159,52,20,10,192,1,2,"Mobile","Books","Basic","Paid_Ad","No","1","3","1"
3661,48,44,563,115,20,0,"Mobile","Books","Free","Referral","No","2","4","1"
1921,3,23,1,24,3,1,"Mobile","Apparel","Basic","Organic","No","1","1","2"
1447,44,57,19,151,9,6,"Desktop","HomeGoods","Premium","Paid_Ad","Yes","3","3","4"
3180,11,16,0,20,6,2,"Tablet","Apparel","Free","Organic","No","2","1","1"
2877,23,43,137,93,17,3,"Tablet","Books","Basic","Paid_Ad","Yes","1","2","2"
1487,23,67,478,154,23,0,"Tablet","Books","Free","Paid_Ad","No","2","4","1"
44,27,41,171,77,18,2,"Desktop","Apparel","Basic","Paid_Ad","No","1","2","1"
3262,24,44,93,59,12,3,"Desktop","Books","Basic","Organic","Yes","1","2","2"
3726,32,69,552,135,24,0,"Desktop","Electronics","Premium","Organic","Yes","3","4","4"
