"UserID","DeviceType","PreferredContentCategory","SubscriptionPlan","UserOrigin","FeedbackGiven"
3116,"Desktop","Gaming","Premium","Referral","Yes"
1870,"Tablet","HomeGoods","Basic","Referral","Yes"
2905,"Mobile","Electronics","Premium","Referral","No"
1703,"Mobile","Electronics","Premium","Paid_Ad","Yes"
3452,"Tablet","Books","Free","Social_Media","Yes"
105,"Desktop","Electronics","Free","Organic","No"
620,"Mobile","HomeGoods","Basic","Paid_Ad","No"
2979,"Desktop","Apparel","Basic","Paid_Ad","No"
156,"Desktop","Electronics","Premium","Paid_Ad","Yes"
1990,"Mobile","Electronics","Free","Paid_Ad","No"
3245,"Tablet","Electronics","Free","Social_Media","Yes"
1799,"Desktop","Apparel","Basic","Organic","Yes"
322,"Mobile","Apparel","Free","Referral","No"
2821,"Tablet","HomeGoods","Basic","Referral","Yes"
3407,"Desktop","Electronics","Premium","Paid_Ad","No"
1050,"Mobile","Apparel","Free","Paid_Ad","No"
694,"Mobile","Apparel","Premium","Referral","No"
1337,"Mobile","Apparel","Free","Referral","No"
3152,"Mobile","Books","Free","Referral","No"
3068,"Desktop","HomeGoods","Basic","Organic","No"
468,"Mobile","Books","Premium","Organic","Yes"
2347,"Desktop","HomeGoods","Premium","Organic","Yes"
1150,"Mobile","Gaming","Premium","Referral","No"
2543,"Desktop","Electronics","Premium","Organic","No"
2834,"Tablet","Books","Free","Paid_Ad","Yes"
1966,"Mobile","Apparel","Basic","Organic","No"
3893,"Mobile","Electronics","Premium","Social_Media","Yes"
3827,"Desktop","Gaming","Basic","Paid_Ad","Yes"
1608,"Tablet","Books","Basic","Organic","Yes"
3092,"Desktop","Gaming","Premium","Social_Media","Yes"
2181,"Mobile","Apparel","Basic","Referral","Yes"
401,"Tablet","HomeGoods","Basic","Organic","Yes"
1251,"Mobile","Apparel","Basic","Organic","Yes"
570,"Mobile","Books","Premium","Social_Media","No"
99,"Mobile","Apparel","Free","Referral","Yes"
2877,"Tablet","Books","Basic","Paid_Ad","Yes"
3566,"Mobile","HomeGoods","Basic","Paid_Ad","No"
1930,"Mobile","Electronics","Basic","Organic","Yes"
1537,"Desktop","HomeGoods","Premium","Social_Media","No"
2924,"Mobile","Books","Basic","Referral","Yes"
3922,"Mobile","Electronics","Basic","Organic","Yes"
1183,"Mobile","Books","Premium","Organic","Yes"
2431,"Mobile","HomeGoods","Free","Organic","No"
935,"Desktop","Gaming","Premium","Organic","Yes"
3636,"Mobile","HomeGoods","Basic","Organic","Yes"
1542,"Mobile","HomeGoods","Free","Paid_Ad","No"
260,"Desktop","Books","Free","Paid_Ad","No"
743,"Desktop","HomeGoods","Free","Paid_Ad","No"
2607,"Mobile","Electronics","Premium","Referral","Yes"
903,"Mobile","Gaming","Basic","Paid_Ad","Yes"
2399,"Desktop","Books","Free","Organic","No"
3928,"Desktop","Books","Basic","Paid_Ad","No"
3582,"Desktop","Electronics","Premium","Social_Media","No"
3409,"Mobile","HomeGoods","Free","Paid_Ad","No"
1380,"Mobile","Books","Basic","Referral","Yes"
2737,"Tablet","Books","Premium","Referral","No"
3819,"Desktop","Gaming","Basic","Paid_Ad","No"
2485,"Mobile","Apparel","Free","Referral","No"
3771,"Tablet","Books","Basic","Organic","Yes"
2463,"Desktop","Gaming","Premium","Paid_Ad","Yes"
395,"Mobile","Books","Free","Paid_Ad","Yes"
2814,"Mobile","Apparel","Premium","Organic","Yes"
1863,"Desktop","HomeGoods","Free","Referral","Yes"
3524,"Mobile","HomeGoods","Free","Referral","No"
1434,"Desktop","Electronics","Basic","Referral","No"
1801,"Mobile","Apparel","Premium","Paid_Ad","Yes"
1857,"Desktop","Books","Basic","Paid_Ad","No"
1017,"Mobile","Apparel","Free","Paid_Ad","No"
3619,"Mobile","Gaming","Premium","Social_Media","Yes"
3308,"Mobile","Apparel","Free","Organic","No"
3786,"Desktop","Gaming","Free","Organic","No"
153,"Desktop","HomeGoods","Basic","Organic","No"
3513,"Mobile","HomeGoods","Basic","Paid_Ad","Yes"
2190,"Mobile","Books","Free","Organic","No"
812,"Mobile","Apparel","Free","Paid_Ad","No"
732,"Mobile","Apparel","Free","Organic","Yes"
1582,"Desktop","HomeGoods","Premium","Paid_Ad","Yes"
2464,"Mobile","Books","Free","Paid_Ad","Yes"
2387,"Desktop","Electronics","Premium","Organic","Yes"
514,"Mobile","Books","Basic","Organic","No"
877,"Mobile","HomeGoods","Free","Organic","Yes"
3711,"Desktop","Apparel","Premium","Organic","No"
3123,"Desktop","Books","Premium","Organic","Yes"
2110,"Mobile","Books","Basic","Paid_Ad","No"
3047,"Desktop","Electronics","Basic","Paid_Ad","Yes"
39,"Desktop","Electronics","Premium","Referral","No"
2324,"Mobile","HomeGoods","Basic","Organic","No"
1859,"Tablet","Gaming","Free","Paid_Ad","No"
689,"Mobile","Apparel","Basic","Social_Media","No"
3299,"Desktop","HomeGoods","Basic","Referral","No"
805,"Desktop","Gaming","Free","Organic","No"
882,"Desktop","Electronics","Premium","Social_Media","No"
917,"Desktop","HomeGoods","Basic","Referral","No"
1497,"Desktop","HomeGoods","Free","Paid_Ad","No"
3093,"Mobile","Gaming","Basic","Social_Media","No"
1688,"Mobile","Books","Premium","Paid_Ad","No"
495,"Mobile","HomeGoods","Premium","Organic","Yes"
1046,"Mobile","Electronics","Basic","Referral","No"
3225,"Desktop","Apparel","Basic","Organic","No"
993,"Desktop","Electronics","Premium","Referral","Yes"
655,"Mobile","HomeGoods","Premium","Referral","Yes"
2027,"Mobile","HomeGoods","Basic","Organic","Yes"
1194,"Mobile","Books","Premium","Paid_Ad","No"
3228,"Mobile","Apparel","Basic","Organic","No"
2804,"Tablet","Books","Basic","Referral","Yes"
416,"Desktop","Electronics","Basic","Organic","No"
795,"Mobile","Electronics","Basic","Referral","No"
750,"Mobile","Apparel","Premium","Paid_Ad","No"
1847,"Mobile","Apparel","Basic","Organic","No"
1691,"Desktop","Books","Basic","Referral","No"
2781,"Mobile","Electronics","Premium","Paid_Ad","Yes"
651,"Mobile","Apparel","Premium","Social_Media","Yes"
1905,"Mobile","HomeGoods","Basic","Organic","Yes"
1386,"Desktop","Gaming","Basic","Referral","Yes"
3800,"Tablet","Apparel","Free","Organic","No"
3016,"Mobile","Apparel","Free","Paid_Ad","No"
2425,"Mobile","Books","Basic","Social_Media","Yes"
1490,"Desktop","Electronics","Free","Referral","Yes"
1398,"Mobile","Books","Free","Organic","No"
1199,"Mobile","Apparel","Basic","Organic","Yes"
3271,"Desktop","Electronics","Premium","Referral","Yes"
3713,"Mobile","HomeGoods","Premium","Paid_Ad","Yes"
2000,"Desktop","Gaming","Free","Referral","No"
2585,"Desktop","Books","Basic","Organic","Yes"
3856,"Mobile","Electronics","Premium","Organic","No"
532,"Desktop","Electronics","Basic","Organic","Yes"
2376,"Desktop","HomeGoods","Basic","Referral","No"
3783,"Tablet","Books","Basic","Social_Media","No"
820,"Desktop","Books","Free","Paid_Ad","No"
2949,"Desktop","Electronics","Free","Paid_Ad","No"
718,"Desktop","Books","Basic","Organic","Yes"
3088,"Desktop","Electronics","Basic","Organic","Yes"
1303,"Desktop","Books","Basic","Organic","Yes"
2420,"Mobile","Books","Basic","Referral","Yes"
3477,"Mobile","Apparel","Premium","Referral","No"
2811,"Desktop","Electronics","Basic","Paid_Ad","No"
2511,"Desktop","Electronics","Basic","Organic","Yes"
3404,"Tablet","Books","Basic","Organic","Yes"
1495,"Tablet","Apparel","Free","Referral","Yes"
1504,"Mobile","Gaming","Premium","Organic","Yes"
687,"Desktop","Electronics","Basic","Referral","Yes"
1776,"Desktop","HomeGoods","Premium","Paid_Ad","No"
2636,"Desktop","Electronics","Premium","Organic","Yes"
2889,"Mobile","HomeGoods","Premium","Social_Media","No"
1318,"Mobile","Electronics","Basic","Social_Media","Yes"
1909,"Desktop","Books","Free","Paid_Ad","No"
577,"Mobile","Electronics","Free","Paid_Ad","Yes"
3006,"Mobile","Electronics","Free","Referral","No"
1469,"Desktop","HomeGoods","Premium","Organic","Yes"
1961,"Desktop","Electronics","Basic","Organic","No"
3531,"Mobile","Books","Basic","Organic","Yes"
168,"Mobile","Books","Free","Organic","No"
1517,"Desktop","Books","Free","Referral","No"
2369,"Desktop","Gaming","Premium","Organic","Yes"
1660,"Desktop","HomeGoods","Premium","Organic","No"
792,"Mobile","Books","Free","Social_Media","No"
1362,"Mobile","HomeGoods","Free","Paid_Ad","No"
2722,"Mobile","Gaming","Free","Referral","Yes"
692,"Mobile","Apparel","Free","Paid_Ad","No"
3553,"Desktop","Books","Free","Social_Media","Yes"
778,"Mobile","Books","Free","Paid_Ad","Yes"
2030,"Mobile","Apparel","Free","Social_Media","No"
2462,"Mobile","HomeGoods","Free","Social_Media","No"
3628,"Desktop","Gaming","Premium","Organic","No"
93,"Mobile","HomeGoods","Free","Referral","No"
1292,"Mobile","HomeGoods","Free","Paid_Ad","No"
685,"Mobile","Books","Basic","Organic","Yes"
1684,"Mobile","Books","Premium","Referral","Yes"
2514,"Mobile","Electronics","Premium","Organic","Yes"
2582,"Desktop","Electronics","Basic","Organic","Yes"
1555,"Desktop","Electronics","Premium","Paid_Ad","No"
1551,"Desktop","HomeGoods","Premium","Organic","Yes"
1354,"Mobile","Electronics","Premium","Organic","Yes"
2016,"Tablet","HomeGoods","Basic","Organic","Yes"
1185,"Mobile","Electronics","Basic","Referral","Yes"
3758,"Mobile","HomeGoods","Free","Paid_Ad","No"
1876,"Tablet","Electronics","Basic","Organic","Yes"
2209,"Desktop","Books","Basic","Referral","No"
2609,"Mobile","Apparel","Free","Paid_Ad","No"
3792,"Tablet","Apparel","Free","Organic","No"
1045,"Tablet","Apparel","Free","Social_Media","No"
2484,"Desktop","Electronics","Premium","Paid_Ad","No"
487,"Desktop","Electronics","Premium","Organic","Yes"
2660,"Mobile","HomeGoods","Premium","Organic","Yes"
3704,"Mobile","HomeGoods","Premium","Referral","Yes"
